"team_name","gp","w","l","w_pct"
"Atlanta Hawks",72,41,31,0.569
"Boston Celtics",72,36,36,0.5
"Brooklyn Nets",72,48,24,0.667
"Charlotte Hornets",72,33,39,0.458
"Chicago Bulls",72,31,41,0.431
"Cleveland Cavaliers",72,22,50,0.306
"Dallas Mavericks",72,42,30,0.583
"Denver Nuggets",72,47,25,0.653
"Detroit Pistons",72,20,52,0.278
"Golden State Warriors",72,39,33,0.542
"Houston Rockets",72,17,55,0.236
"Indiana Pacers",72,34,38,0.472
"LA Clippers",72,47,25,0.653
"Los Angeles Lakers",72,42,30,0.583
"Memphis Grizzlies",72,38,34,0.528
"Miami Heat",72,40,32,0.556
"Milwaukee Bucks",72,46,26,0.639
"Minnesota Timberwolves",72,23,49,0.319
"New Orleans Pelicans",72,31,41,0.431
"New York Knicks",72,41,31,0.569
"Oklahoma City Thunder",72,22,50,0.306
"Orlando Magic",72,21,51,0.292
"Philadelphia 76ers",72,49,23,0.681
"Phoenix Suns",72,51,21,0.708
"Portland Trail Blazers",72,42,30,0.583
"Sacramento Kings",72,31,41,0.431
"San Antonio Spurs",72,33,39,0.458
"Toronto Raptors",72,27,45,0.375
"Utah Jazz",72,52,20,0.722
"Washington Wizards",72,34,38,0.472
